Variant,Accession Number
WHO Alpha,EPI_ISL_3147384
EMORY Alpha,EPI_ISL_751801
INNSBRUCK Alpha,EPI_ISL_3305837
WHO Beta,EPI_ISL_2401142
EMORY Beta,EPI_ISL_890360
INNSBRUCK Beta,EPI_ISL_17528983
WHO Delta,EPI_ISL_5394579
EMORY Delta,EPI_ISL_2457061
INNSBRUCK Delta,EPI_ISL_2290769
WHO BA.1,EPI_ISL_7456457
EMORY BA.1,EPI_ISL_7171744
INNSBRUCK BA.1,EPI_ISL_17528984
WHO BA.5,EPI_ISL_12268493.2
INNSBRUCK BA.5,EPI_ISL_13666092
EMORY BA.5,EPI_ISL_13512579
WHO XBB.1.5,EPI_ISL_16760602
EMORY XBB.1.5,EPI_ISL_16026423
INNSBRUCK XBB.1.5,EPI_ISL_17077093
